Elapsed [0:01:45], Iteration [270/5000], D/loss_real: -0.3058, D/loss_fake: 0.1321, D/loss_cls: 2.5263, D/loss_gp: 0.0020, G/loss_fake: -0.1493, G/loss_rec: 0.3207, G/loss_cls: 1.9745
Elapsed [0:01:49], Iteration [280/5000], D/loss_real: -0.3616, D/loss_fake: 0.1841, D/loss_cls: 2.1244, D/loss_gp: 0.0015, G/loss_fake: -0.1717, G/loss_rec: 0.3259, G/loss_cls: 1.8645
Elapsed [0:01:53], Iteration [290/5000], D/loss_real: -0.3429, D/loss_fake: 0.2295, D/loss_cls: 2.2326, D/loss_gp: 0.0007, G/loss_fake: -0.2419, G/loss_rec: 0.3015, G/loss_cls: 1.3905
Elapsed [0:01:57], Iteration [300/5000], D/loss_real: -0.3957, D/loss_fake: 0.2840, D/loss_cls: 2.7864, D/loss_gp: 0.0013, G/loss_fake: -0.2564, G/loss_rec: 0.3016, G/loss_cls: 1.6131
Elapsed [0:02:03], Iteration [310/5000], D/loss_real: -0.3261, D/loss_fake: 0.2319, D/loss_cls: 2.0512, D/loss_gp: 0.0012, G/loss_fake: -0.2128, G/loss_rec: 0.2673, G/loss_cls: 1.2140
Elapsed [0:02:09], Iteration [320/5000], D/loss_real: -0.2029, D/loss_fake: 0.0599, D/loss_cls: 2.0046, D/loss_gp: 0.0014, G/loss_fake: -0.0769, G/loss_rec: 0.2993, G/loss_cls: 1.4864
Elapsed [0:02:15], Iteration [330/5000], D/loss_real: -0.2843, D/loss_fake: 0.1419, D/loss_cls: 2.3254, D/loss_gp: 0.0020, G/loss_fake: -0.1260, G/loss_rec: 0.3025, G/loss_cls: 1.6081
Elapsed [0:02:20], Iteration [340/5000], D/loss_real: -0.2671, D/loss_fake: 0.1083, D/loss_cls: 2.4901, D/loss_gp: 0.0017, G/loss_fake: -0.0974, G/loss_rec: 0.2856, G/loss_cls: 1.6675
Elapsed [0:02:26], Iteration [350/5000], D/loss_real: -0.1833, D/loss_fake: 0.0877, D/loss_cls: 2.1249, D/loss_gp: 0.0010, G/loss_fake: -0.1029, G/loss_rec: 0.2851, G/loss_cls: 1.2923
Elapsed [0:02:32], Iteration [360/5000], D/loss_real: -0.1898, D/loss_fake: 0.0958, D/loss_cls: 2.1763, D/loss_gp: 0.0012, G/loss_fake: -0.1168, G/loss_rec: 0.2940, G/loss_cls: 1.4461
Elapsed [0:02:38], Iteration [370/5000], D/loss_real: -0.3204, D/loss_fake: 0.1490, D/loss_cls: 2.1989, D/loss_gp: 0.0037, G/loss_fake: -0.1301, G/loss_rec: 0.2932, G/loss_cls: 1.4394
Elapsed [0:02:42], Iteration [380/5000], D/loss_real: -0.2798, D/loss_fake: 0.1346, D/loss_cls: 1.9522, D/loss_gp: 0.0021, G/loss_fake: -0.1237, G/loss_rec: 0.2769, G/loss_cls: 1.2555
Elapsed [0:02:45], Iteration [390/5000], D/loss_real: -0.2663, D/loss_fake: 0.0740, D/loss_cls: 2.4474, D/loss_gp: 0.0031, G/loss_fake: -0.0448, G/loss_rec: 0.3382, G/loss_cls: 1.4460
Elapsed [0:02:49], Iteration [400/5000], D/loss_real: -0.2928, D/loss_fake: 0.1028, D/loss_cls: 1.9723, D/loss_gp: 0.0021, G/loss_fake: -0.0950, G/loss_rec: 0.3078, G/loss_cls: 1.1713
Elapsed [0:02:52], Iteration [410/5000], D/loss_real: -0.1662, D/loss_fake: 0.0827, D/loss_cls: 2.3522, D/loss_gp: 0.0010, G/loss_fake: -0.0564, G/loss_rec: 0.3132, G/loss_cls: 1.2921
Elapsed [0:02:56], Iteration [420/5000], D/loss_real: -0.0986, D/loss_fake: -0.0171, D/loss_cls: 1.9287, D/loss_gp: 0.0022, G/loss_fake: 0.0161, G/loss_rec: 0.2755, G/loss_cls: 1.0003
Elapsed [0:02:59], Iteration [430/5000], D/loss_real: -0.2698, D/loss_fake: 0.1985, D/loss_cls: 2.4334, D/loss_gp: 0.0007, G/loss_fake: -0.1526, G/loss_rec: 0.2645, G/loss_cls: 1.1100
Elapsed [0:03:03], Iteration [440/5000], D/loss_real: -0.2449, D/loss_fake: 0.0856, D/loss_cls: 2.1719, D/loss_gp: 0.0016, G/loss_fake: -0.0870, G/loss_rec: 0.2995, G/loss_cls: 0.9857
Elapsed [0:03:06], Iteration [450/5000], D/loss_real: -0.2431, D/loss_fake: 0.1073, D/loss_cls: 2.1184, D/loss_gp: 0.0016, G/loss_fake: -0.0989, G/loss_rec: 0.2566, G/loss_cls: 1.3886
Elapsed [0:03:10], Iteration [460/5000], D/loss_real: -0.1945, D/loss_fake: 0.0503, D/loss_cls: 2.4976, D/loss_gp: 0.0013, G/loss_fake: -0.0544, G/loss_rec: 0.2681, G/loss_cls: 1.1257
Elapsed [0:03:13], Iteration [470/5000], D/loss_real: -0.2563, D/loss_fake: 0.0247, D/loss_cls: 2.5422, D/loss_gp: 0.0023, G/loss_fake: -0.0503, G/loss_rec: 0.3175, G/loss_cls: 1.0930
Elapsed [0:03:17], Iteration [480/5000], D/loss_real: -0.1663, D/loss_fake: 0.0108, D/loss_cls: 2.6663, D/loss_gp: 0.0010, G/loss_fake: -0.0107, G/loss_rec: 0.2893, G/loss_cls: 1.1719
Elapsed [0:03:20], Iteration [490/5000], D/loss_real: -0.1513, D/loss_fake: -0.0070, D/loss_cls: 2.0498, D/loss_gp: 0.0017, G/loss_fake: 0.0274, G/loss_rec: 0.2490, G/loss_cls: 1.0239
Elapsed [0:03:24], Iteration [500/5000], D/loss_real: -0.1179, D/loss_fake: -0.0207, D/loss_cls: 1.8730, D/loss_gp: 0.0014, G/loss_fake: 0.0147, G/loss_rec: 0.2670, G/loss_cls: 0.9084
Elapsed [0:03:27], Iteration [510/5000], D/loss_real: -0.0868, D/loss_fake: -0.0914, D/loss_cls: 2.0662, D/loss_gp: 0.0012, G/loss_fake: 0.0682, G/loss_rec: 0.2747, G/loss_cls: 1.0817
Elapsed [0:03:31], Iteration [520/5000], D/loss_real: -0.1469, D/loss_fake: -0.0488, D/loss_cls: 2.3009, D/loss_gp: 0.0029, G/loss_fake: 0.0705, G/loss_rec: 0.2960, G/loss_cls: 1.0373
Elapsed [0:03:34], Iteration [530/5000], D/loss_real: -0.0965, D/loss_fake: -0.0709, D/loss_cls: 1.8969, D/loss_gp: 0.0008, G/loss_fake: 0.0867, G/loss_rec: 0.2699, G/loss_cls: 1.1697
Elapsed [0:03:38], Iteration [540/5000], D/loss_real: -0.1706, D/loss_fake: -0.0725, D/loss_cls: 1.9059, D/loss_gp: 0.0013, G/loss_fake: 0.0999, G/loss_rec: 0.2840, G/loss_cls: 0.8876
Elapsed [0:03:41], Iteration [550/5000], D/loss_real: -0.1562, D/loss_fake: 0.0069, D/loss_cls: 1.9887, D/loss_gp: 0.0011, G/loss_fake: 0.0333, G/loss_rec: 0.2765, G/loss_cls: 0.6893
Elapsed [0:03:45], Iteration [560/5000], D/loss_real: -0.1260, D/loss_fake: -0.0501, D/loss_cls: 1.9584, D/loss_gp: 0.0028, G/loss_fake: 0.0418, G/loss_rec: 0.2429, G/loss_cls: 1.0634
Elapsed [0:03:48], Iteration [570/5000], D/loss_real: -0.0724, D/loss_fake: -0.1154, D/loss_cls: 2.1094, D/loss_gp: 0.0007, G/loss_fake: 0.1334, G/loss_rec: 0.2678, G/loss_cls: 0.9437
Elapsed [0:03:52], Iteration [580/5000], D/loss_real: -0.2165, D/loss_fake: 0.0231, D/loss_cls: 2.2184, D/loss_gp: 0.0012, G/loss_fake: -0.0409, G/loss_rec: 0.2532, G/loss_cls: 1.3078
Elapsed [0:03:55], Iteration [590/5000], D/loss_real: -0.1966, D/loss_fake: -0.0461, D/loss_cls: 1.8107, D/loss_gp: 0.0018, G/loss_fake: 0.0496, G/loss_rec: 0.2744, G/loss_cls: 0.7764
Elapsed [0:03:59], Iteration [600/5000], D/loss_real: -0.0750, D/loss_fake: -0.0762, D/loss_cls: 2.1313, D/loss_gp: 0.0011, G/loss_fake: 0.0663, G/loss_rec: 0.2477, G/loss_cls: 0.9552
Elapsed [0:04:02], Iteration [610/5000], D/loss_real: -0.2046, D/loss_fake: -0.0015, D/loss_cls: 2.3011, D/loss_gp: 0.0014, G/loss_fake: 0.0263, G/loss_rec: 0.2673, G/loss_cls: 0.9900
Elapsed [0:04:06], Iteration [620/5000], D/loss_real: -0.1853, D/loss_fake: -0.0203, D/loss_cls: 1.5424, D/loss_gp: 0.0006, G/loss_fake: 0.0425, G/loss_rec: 0.2618, G/loss_cls: 0.8062
Elapsed [0:04:09], Iteration [630/5000], D/loss_real: -0.2324, D/loss_fake: -0.0164, D/loss_cls: 2.2009, D/loss_gp: 0.0032, G/loss_fake: 0.0183, G/loss_rec: 0.2881, G/loss_cls: 0.9380
Elapsed [0:04:13], Iteration [640/5000], D/loss_real: -0.1768, D/loss_fake: -0.0313, D/loss_cls: 1.9427, D/loss_gp: 0.0010, G/loss_fake: 0.0188, G/loss_rec: 0.2486, G/loss_cls: 0.9602
Elapsed [0:04:17], Iteration [650/5000], D/loss_real: -0.0732, D/loss_fake: -0.1672, D/loss_cls: 2.0105, D/loss_gp: 0.0014, G/loss_fake: 0.1621, G/loss_rec: 0.2512, G/loss_cls: 0.6404
